iterrations;100;;;;;;;;;;;;
name;u_th;u_max;u_0;u_min;u_reb;v_00;v_01;v_10;v_11;v_reb;u;d;w
ton_10;0.6;0.9;0;0;-9999;-100;0.534591591;0.408834082;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[-0.27298350753016876, 0.21405459981660857, -0.6660739522778321, -0.39750596266647253, 0.17093390131984587, -0.7064214419257089, -0.012720224907224686, 0.6637666440910481, -0.919923137799616, -0.3607127548346536, 0, -0.2570770966965439, -0.38542166489063634, -0.12840180888620245, -0.3307845207236355, 0.9093965191293691, 0.8750524859883173, 0.636901657273768, 0.6292751010290034, -0.1934946886674438, 0.814674027395224, -0.9638102044925614, 0.6237673280174261, -0.932376965679524, 0.9665100180596167, -0.2250549142187721, 0.12976201132263587, 0.7770482688415954, -0.5236090817601229, 0.317983317600367, 0.6731253952845484, 0.7471349700564305, -0.47215075580657406, -0.9126465166419833, 0.7490181561203, -0.5293394516100074, -0.039404239376310324, -0.744206901055587, -0.5162339935665241, -0.36263885359164094]]
ton_11;0.6;0.9;0;0;-9999;-100;0.432876087;0.505049153;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.26196657631052167, -0.09798291907184109, 0.850511582470026, -0.7837930694306923, 0.7230742262049874, 0.26977678364279756, 0.8275949296230123, 0.6622720223368965, -0.06516109335948816, -0.029473670621713133, 0.9937403735156307, 0, 0.9674852155927982, -0.9863847228143934, 0.45507712746580564, 0.7010462853761796, 0.18295526694663145, -0.3264985532179119, -0.3245582900662878, 0.8464588717759329, 0.029817706016716183, -0.21798593805463584, -0.23175835260802358, -0.6860549173250221, -0.833869483375675, 0.44436100391463085, 0.12688378309952109, 0.9218689614109425, -0.013504282188386618, 0.8550395564282303, -0.7625181600898199, 0.4263402550845081, 0.8545829307771569, -0.9844779083752544, -0.3909957295317692, -0.36641901532937315, 0.7929548640248165, 0.9883792736628969, 0.18150162190437702, -0.942408619347505]]
ton_12;0.6;0.9;0;0;-9999;-100;0.337310772;0.389935743;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[-0.05855335391965277, 0.29816607334290746, 0.9620816866402846, 0.3526365302222674, -0.07351092561256367, 0.38041306795481056, -0.4207607725505038, -0.5189547335409057, -0.21891150846674434, -0.07114028351172696, -0.26454937104554266, -0.6903150513249103, 0, 0.6360120833606053, -0.5715177196222896, -0.10014310221327993, -0.1273066912450327, -0.019314975632374942, -0.20050136249919936, -0.49145301577750056, -0.5379742465429569, -0.011963454624323244, -0.852300168881017, 0.07126831507736942, 0.14236318613484533, -0.0030495773504555235, -0.9946678495449481, 0.9077842062024573, 0.666912620220397, 0.5131294189602948, 0.1508782073811512, -0.9427189087311005, 0.8408824894853728, 0.18025360785035494, 0.16218139386193164, -0.7539623748442765, 0.5809862906686636, -0.023696181525155957, 0.9395445051687497, -0.008485332297555992]]
ton_13;0.6;0.9;0;0;-9999;-100;0.353267049;0.385783221;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.0410263685727319, -0.5945675117531506, -0.4294953784798077, 0.5342343354187744, -0.27670792942058364, -0.03775076021333712, -0.1412854410348794, 0.9561810489593952, 0.4380022616766055, -0.0989350601010821, 0.1279706198331647, 0.9071135960818979, 0.34528264974280964, 0, 0.8950191869015105, 0.482299538272442, 0.09463012784922764, -0.4593585173229169, -0.6527421059608811, 0.5952897043830947, -0.28709686076509433, 0.9988353154000889, 0.449037448295982, 0.21256002854918044, 0.0718586596317703, 0.24966063991224208, 0.8204226781769963, 0.535979566801666, -0.012173752899298229, 0.49887863467844373, 0.7214428800410551, -0.4496576908564174, 0.9224444930013598, -0.8411264058175281, 0.3855662156807731, 0.7777285650982768, 0.4578140652605178, 0.4400478699078192, -0.472833328164707, -0.6822314001194112]]
ton_14;0.6;0.9;0;0;-9999;-100;0.596644196;0.404753506;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[-0.21349322438018015, -0.7892573890802097, 0.6450040985754457, -0.9917011862685565, 0.329687451084953, -0.7279564817024149, -0.5987035246334389, -0.7686272985779843, 0.3572738191747591, 0.9777159994917937, 0.2623677771369888, -0.6373509696275914, -0.10964054688248837, 0.12441193467121425, 0, -0.6983552554896872, 0.35248593224353186, 0.07092537341832372, 0.96453559551405, -0.098277848815014, 0.7517877613216202, 0.3966161893080766, 0.43036376969273626, -0.05126150718514477, 0.5355579145442178, 0.8383022823038218, 0.2995730350753911, 0.1452730609773032, 0.3854508482107737, -0.4608032451255577, -0.8360015283399171, -0.06922741506208885, 0.27587979232024473, -0.9409868606701399, 0.7778695717521247, -0.46068667460446333, -0.6996948663491376, -0.3370280168281439, 0.637737255441146, 0.7201319540449336]]
ton_15;0.6;0.9;0;0;-9999;-100;0.532919141;0.589380647;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.22045631112232056, -0.15600768584389768, -0.07018130875569795, -0.5473169718171906, -0.2578941025981436, -0.4401573292697769, 0.5833268662635953, -0.6514935680879945, 0.4556924757685954, -0.5578104370700439, 0.8438670229004608, 0.3650241122975917, 0.1853707280355672, 0.9273801636564376, -0.31330387095341306, 0, -0.7988105684550524, 0.8413943561950599, -0.46717206281673773, 0.5929719381474956, 0.198917903666755, 0.745456361945031, -0.40100840438871077, 0.9398759078689591, -0.5081899473198237, -0.8221820125167947, -0.5621174172185772, -0.026761902539883753, 0.6017387068623197, 0.4173944073948901, -0.4543081309089858, 0.2070871674772492, -0.38954008859246936, -0.07398444996444242, -0.555112880947467, 0.6656079520997338, -0.6475405321873675, 0.5070581337170945, -0.05271062979225771, -0.19053314133085308]]
ton_16;0.6;0.9;0;0;-9999;-100;0.413395912;0.420906523;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.6251127690370959, 0.5371580829679239, -0.16867967226407132, 0.297382999150436, -0.9637451094955556, 0.6397372666880499, 0.1720586907999997, -0.9148964465924099, 0.6421035542596087, -0.5021785591572945, 0.8856773989561126, 0.39747679121414436, 0.6256003769423779, -0.9406051332038927, -0.12967380138185347, 0.515167516646506, 0, -0.06482917017038958, -0.8113818148013019, 0.45103181457674646, 0.6137407585278958, -0.37196278698810525, 0.9131553555368261, 0.21624019094369373, 0.7657609862540029, -0.711419774323856, 0.7141331198584262, 0.10940880103378192, 0.5989392888401082, 0.2719132881350359, 0.2224532764800886, 0.03704126481956571, -0.32910374138560106, -0.7670881997436474, 0.6055230424683342, 0.8036419128815449, 0.12370774884110736, 0.19919954508690796, -0.6081219079800626, 0.4487680139320076]]
ton_17;0.6;0.9;0;0;-9999;-100;0.362282228;0.517346222;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.4076004684498751, -0.054368795726916996, -0.014691589988637732, -0.885593203739534, 0.17749740017947246, -0.25064943484866964, 0.9092309037510136, -0.5719699231591284, 0.8019088199574227, 0.9210321605106053, 0.3568220162918456, -0.6602979396596282, -0.4266154225697336, -0.6863480919683207, -0.7562970286480311, -0.8549977917924307, 0.8334230319404434, 0, 0.6762376060655035, 0.4122422052688639, 0.9724578191347555, -0.10886251566944649, 0.2113291110103077, -0.024358131342886002, 0.7468294329915175, 0.16596094977094644, -0.017960984286700565, 0.7430347971227174, -0.8165528489943359, 0.32285705805965326, -0.30786367260428604, 0.5571083708548963, -0.5828193325174131, -0.8702312526565104, 0.957268503783786, 0.07075359266967585, -0.1695127704648267, -0.8040418215325593, 0.4210780936397742, 0.677267242473669]]
ton_18;0.6;0.9;0;0;-9999;-100;0.355509141;0.474915383;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.9339843165025916, -0.7472634008436378, 0.6035427660390424, 0.8566015203105604, -0.8072341719804024, 0.02125331894854332, -0.554464432053694, -0.49619693934441944, -0.34132633138747126, -0.22618014411741738, 0.057707241003886356, -0.6254839488426682, -0.7261342579655754, 0.2460206928878177, 0.18211628285427395, 0.290246601277115, 0.0007689984406997752, -0.7426961213564309, 0, -0.28025296956498336, 0.7306004983879772, -0.932636471495135, 0.6765374151276016, 0.43811262683149454, -0.5608189295267376, 0.22238145013989463, 0.9691858711606058, 0.8904218128782875, 0.4081704785939415, -0.04614145623014432, -0.9640586593418492, -0.9461908389104787, 0.5542033339492201, 0.57293019961307, 0.1230358330083896, -0.5674154467714041, 0.019625801530976483, -0.009820747527112594, -0.002188085537915052, -0.04705794406743169]]
ton_19;0.6;0.9;0;0;-9999;-100;0.40495703;0.333889059;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.5825766162818571, 0.9470358803938888, -0.7026546501840316, 0.5619556000154611, -0.11711820078743229, 0.5868149878749538, 0.4610051763587333, -0.4609024682230769, 0.31485433137444097, -0.22225580407192913, -0.810141380550873, -0.47767228016194485, -0.589091073549556, -0.5970181694506469, 0.10291296114608772, -0.469804748467336, -0.7160600360243339, 0.0949634371404835, 0.12476806709591837, 0, -0.061276526502181516, -0.20397225845361278, 0.7660364840908909, -0.472749210711924, 0.4323204311962283, 0.5402789451062722, 0.7756248357953344, 0.022303637207638616, -0.2716300195185528, -0.4366873412708132, 0.3441427966752546, -0.606670241272329, -0.7645467879344572, -0.7503120809793304, -0.8871991079226127, -0.995785664178177, -0.29678333068067, 0.33029743516565824, -0.8923560897500116, -0.9283523956744963]]
